GTM Type,Board Size,Game State,Train Dataset,Test Dataset,Log Folder,#Examples,Epochs,#Clauses,T,s,Train Accuracy,Test Accuracy,Train Time,Test Time,Total Time
Multi,3,0,./data/self/train-self-3-5000-0-0-2024-12-14-211350.json,./data/self/eval-self-3-5000-0-0-2024-12-14-211350.json,./log/train/train-2024-12-1822:35:36.284693,5000,20,50,300,1.3,95.98,96.39999999999999,4.155301094055176,0.09632587432861328,73.51018166542053
Multi,3,0,./data/self/train-self-3-10000-0-0-2024-12-19-130423.json,./data/self/eval-self-3-10000-0-0-2024-12-19-130423.json,./log/train/train-2024-12-1913:05:09.348036,10000,5,50,300,1.3,94.01,95.39999999999999,6.731204271316528,0.11120223999023438,42.297892332077026
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/eval-self-3-10000-0-0-2024-12-19-130423.json,./log/train/train-2024-12-1913:10:00.774578,50000,5,50,300,1.3,65.00399999999999,68.8,35.797935009002686,0.1215205192565918,234.5045771598816
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/eval-self-3-10000-0-0-2024-12-19-130423.json,./log/train/train-2024-12-1913:15:28.361420,10000,5,50,300,1.3,89.01,88.6,9.507004022598267,0.1124107837677002,45.28633379936218
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/eval-self-3-10000-0-0-2024-12-19-130423.json,./log/train/train-2024-12-1913:16:43.170742,10000,5,50,300,1.3,94.61,95.0,6.59600305557251,0.11237573623657227,42.17367696762085
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/eval-self-3-10000-0-0-2024-12-19-130423.json,./log/train/train-2024-12-1913:17:45.529042,10000,5,50,300,1.3,95.09,95.8,6.831864833831787,0.12438154220581055,42.88746356964111
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:19:15.374966,10000,5,50,300,1.3,97.1,98.4,6.4230968952178955,0.11760926246643066,42.179686546325684
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:20:40.453991,5000,10,50,300,1.3,93.88,94.19999999999999,3.745940685272217,0.11994552612304688,43.72995138168335
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:21:37.883823,15000,5,50,300,1.3,95.41333333333334,97.6,9.855365991592407,0.11957192420959473,63.7369966506958
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:23:48.124040,15000,5,100,300,1.3,95.75333333333333,97.8,11.424270153045654,0.12846660614013672,67.99113845825195
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:25:31.191223,15000,5,150,300,1.3,95.83333333333334,96.8,11.43703842163086,0.11919331550598145,66.64824080467224
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:27:02.936513,10000,5,150,300,1.3,95.41,95.8,7.774628639221191,0.13779854774475098,47.10155725479126
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-1913:28:13.461548,15000,5,150,300,1.3,95.26666666666667,95.39999999999999,10.058242559432983,0.12439560890197754,65.55028820037842
